projectid,gender,purchasing_reason,decide_purchase_reason,not_book_reason,other_projects_before_deicde,condo_payment,day_off_activity,most_interested_activites_participation,room_size_wanted,purchase_budget,residences_count,would_recommend,information_source,saw_sign,car_type,decision_time_frame,family_monthly_income,individual_monthly_income_baht,exercise_preference,condo_living_style,car_brand,purchase_intent,travel_route_today,marital_status,occupation,age,Project Brand,Project Type,Starting Price,Location,hour_sin,hour_cos,day,month,quarter,year,week,day_of_week,is_weekend,day_of_year,season,has_booked_prediction
81,ชาย,ลงทุน/ปล่อยเช่า,มีโอกาสในการลงทุน,unknown,unknown,ขอสินเชื่อ,ออกกำลังกาย,unknown,23-25 ตร.ม.,2.01 - 2.5M,หลังที่ 1,Missing,Facebook โครงการ,ป้านหน้าสำนักงานขาย,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",ภายใน 1 เดือน,Missing,"80,001 - 100,000",unknown,unknown,โตโยต้า (Toyota),ปล่อยเช่า,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,KAVE,Campus Condo,1790000,บางแสน,-0.7071067811865471,-0.7071067811865479,7.0,7.0,3.0,2024.0,27,6.0,1,189.0,3.0,1.0
89,หญิง,อื่นๆ,Other,อื่นๆ,unknown,อื่นๆ,unknown,unknown,26-29 ตร.ม.,Missing,หลังที่ 2,Missing,unknown,unknown,"รถเก๋ง Size L (Accord, Camry ...)",ภายใน 1 เดือน,Missing,Missing,unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,ธุรกิจส่วนตัว ประเภท,36-45 ปี,KAVE,Campus Condo,1890000,ศาลายา,-0.4999999999999997,-0.8660254037844388,24.0,6.0,2.0,2023.0,25,5.0,1,175.0,3.0,1.0
89,หญิง,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook โครงการ,ป้ายหน้าโครงการ,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",มากกว่า 1 ปี,Missing,"30,001 - 40,000",unknown,unknown,โตโยต้า (Toyota),ปล่อยเช่า,Other,โสด,รับราชการ ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1890000,ศาลายา,-0.9659258262890684,-0.2588190451025206,7.0,9.0,3.0,2024.0,36,5.0,1,251.0,4.0,0.0
93,หญิง,ลงทุน/ปล่อยเช่า,มีโอกาสในการลงทุน,unknown,unknown,สิทธิ์สวัสดิการ,unknown,unknown,26-29 ตร.ม.,1.51 - 2.0M,หลังที่ 2,Missing,Facebook,unknown,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"120,001 - 140,000","40,001 - 50,000",unknown,unknown,ฮอนด้า (Honda),ปล่อยเช่า,Other,สมรส มีบุตร (คน),พนักงานรัฐวิสาหกิจ ประเภท,36-45 ปี,KAVE,Campus Condo,1690000,รังสิต,0.258819045102521,-0.9659258262890682,16.0,6.0,2.0,2024.0,24,6.0,1,168.0,3.0,1.0
93,unknown,unknown,unknown,unknown,unknown,unknown,พักผ่อนส่วนตัว,unknown,Missing,1.51 - 2.0M,Missing,Missing,Other,unknown,Missing,Missing,Missing,"40,001 - 50,000",unknown,unknown,unknown,unknown,Other,unknown,พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1690000,รังสิต,0.258819045102521,-0.9659258262890682,11.0,2.0,1.0,2024.0,6,6.0,1,42.0,1.0,0.0
94,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Missing,Missing,Missing,Missing,unknown,unknown,Missing,Missing,Missing,"20,001 - 30,000",unknown,unknown,unknown,unknown,unknown,unknown,อื่นๆ,ต่ำกว่า 25 ปี,MODIZ,HIGH RISE,1790000,รังสิต,-0.8660254037844385,-0.5000000000000004,7.0,7.0,3.0,2023.0,27,4.0,0,188.0,3.0,0.0
94,ชาย,ใกล้ที่ทำงาน,unknown,unknown,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,unknown,unknown,26-29 ตร.ม.,2.51 - 3.0M,หลังที่ 1,Missing,Website โครงการ,unknown,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"50,001 - 65,000","50,001 - 65,000",unknown,unknown,ฮอนด้า (Honda),อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,MODIZ,HIGH RISE,1790000,รังสิต,-0.8660254037844385,-0.5000000000000004,15.0,2.0,1.0,2025.0,7,5.0,1,46.0,1.0,0.0
97,หญิง,ลงทุน/ปล่อยเช่า,unknown,ราคาสูงกว่างบประมาณในการซื้อ,unknown,unknown,พักผ่อนส่วนตัว,unknown,30-34 ตร.ม.,Missing,Missing,Missing,unknown,unknown,"รถยนต์อเนกประสงค์ (SUV, MPV)",1 - 3 เดือน,Missing,Missing,unknown,unknown,อื่นๆ,ปล่อยเช่า,unknown,โสด,ธุรกิจส่วนตัว ประเภท,Missing,AQUAROUS,HIGH RISE,4210000,Other,-0.4999999999999997,-0.8660254037844388,17.0,2.0,1.0,2025.0,8,0.0,0,48.0,1.0,
97,ชาย,unknown,unknown,unknown,unknown,unknown,unknown,unknown,40-50 ตร.ม.,Missing,Missing,Missing,unknown,unknown,มอเตอร์ไซค์,มากกว่า 1 ปี,Missing,Missing,unknown,unknown,ไม่มีรถ,unknown,unknown,โสด,อื่นๆ,45 ปีขึ้นไป,AQUAROUS,HIGH RISE,4210000,Other,-0.9659258262890684,-0.2588190451025206,20.0,2.0,1.0,2025.0,8,3.0,0,51.0,1.0,
98,LGBT,unknown,unknown,unknown,unknown,unknown,พักผ่อนส่วนตัว,unknown,23-25 ตร.ม.,2.51 - 3.0M,Missing,Missing,ลูกค้าเก่า AssetWise,unknown,"รถเก๋ง Size M (Civic, Altis ...)",4 - 6 เดือน,Missing,"50,001 - 65,000",unknown,unknown,ฮอนด้า (Honda),ปล่อยเช่า,Other,โสด,พนักงานบริษัทเอกชน ประเภท,25-35 ปี,KAVE,Campus Condo,2390000,ลาดพร้าว,-0.8660254037844385,-0.5000000000000004,21.0,2.0,1.0,2025.0,8,4.0,0,52.0,1.0,0.0
98,unknown,unknown,unknown,unknown,unknown,unknown,พักผ่อนส่วนตัว,unknown,Missing,2.51 - 3.0M,Missing,Missing,Website โครงการ,ป้ายหน้าโครงการ,Missing,Missing,Missing,"30,001 - 40,000",unknown,unknown,unknown,unknown,Other,unknown,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,KAVE,Campus Condo,2390000,ลาดพร้าว,-0.8660254037844385,-0.5000000000000004,15.0,2.0,1.0,2025.0,7,5.0,1,46.0,1.0,0.0
99,ชาย,ลงทุน/ปล่อยเช่า,มีโอกาสในการลงทุน,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,ขอสินเชื่อ,พักผ่อนส่วนตัว,unknown,26-29 ตร.ม.,2.01 - 2.5M,มากกว่า 2 หลัง,Missing,Facebook Assetwise,Other,"รถเก๋ง Size M (Civic, Altis ...)",ภายใน 1 เดือน,"120,001 - 140,000","65,001 - 80,000",unknown,unknown,ฮอนด้า (Honda),ปล่อยเช่า,Other,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,36-45 ปี,KAVE,Campus Condo,1790000,Other,1.2246467991473532e-16,-1.0,6.0,8.0,3.0,2024.0,32,1.0,0,219.0,3.0,1.0
99,หญิง,unknown,unknown,unknown,ไม่ได้เปรียบเทียบ,unknown,unknown,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,unknown,unknown,"ECO Car (Vios, Yaris, Jazz, City,  Mazda2 ...)",1 - 3 เดือน,"20,001 - 35,000","20,001 - 30,000",unknown,unknown,Other,ปล่อยเช่า,Other,สมรส มีบุตร (คน),รับราชการ ประเภท,36-45 ปี,KAVE,Campus Condo,1790000,Other,-0.8660254037844385,-0.5000000000000004,6.0,11.0,4.0,2024.0,45,2.0,0,311.0,4.0,0.0
101,หญิง,สภาพแวดล้อมที่ดีขึ้น,unknown,ราคาสูงกว่างบประมาณในการซื้อ,unknown,unknown,unknown,unknown,23-25 ตร.ม.,Missing,Missing,Missing,unknown,unknown,Missing,1 - 3 เดือน,Missing,Missing,unknown,unknown,unknown,อยู่เอง,unknown,โสด,พนักงานบริษัทเอกชน ประเภท,ต่ำกว่า 25 ปี,KAVE,Campus Condo,2390000,บางมด,-0.9659258262890684,-0.2588190451025206,8.0,6.0,2.0,2024.0,23,5.0,1,160.0,3.0,0.0
101,ชาย,unknown,unknown,unknown,unknown,unknown,unknown,unknown,26-29 ตร.ม.,Missing,Missing,Missing,unknown,unknown,"รถเก๋ง Size M (Civic, Altis ...)",4 - 6 เดือน,Missing,Missing,unknown,unknown,ฮอนด้า (Honda),unknown,unknown,โสด,อื่นๆ,36-45 ปี,KAVE,Campus Condo,2390000,บางมด,-0.4999999999999997,-0.8660254037844388,9.0,6.0,2.0,2024.0,23,6.0,1,161.0,3.0,0.0
103,ชาย,ซื้อเก็บเป็นทรัพย์สิน,unknown,อยู่ระหว่างการตัดสินใจ,ไม่ได้เปรียบเทียบ,unknown,ออกกำลังกาย,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,unknown,ป้ายบอกทาง บริเวณ,"รถยนต์อเนกประสงค์ (SUV, MPV)",1 - 3 เดือน,"65,001 - 80,000","40,001 - 50,000",unknown,unknown,โตโยต้า (Toyota),อยู่เอง,Other,สมรส มีบุตร (คน),รับราชการ ประเภท,36-45 ปี,ATMOZ,HIGH RISE,1690000,Other,-0.7071067811865471,-0.7071067811865479,23.0,3.0,1.0,2025.0,12,6.0,1,82.0,2.0,0.0
103,ชาย,unknown,unknown,Other,อื่นๆ โปรดระบุ,unknown,unknown,unknown,26-29 ตร.ม.,1.51 - 2.0M,Missing,Missing,Facebook,unknown,"รถเก๋ง Size L (Accord, Camry ...)",1 - 3 เดือน,"80,001 - 100,000","80,001 - 100,000",unknown,unknown,ฮอนด้า (Honda),ปล่อยเช่า,Other,โสด,พนักงานบริษัทเอกชน ประเภท,36-45 ปี,ATMOZ,HIGH RISE,1690000,Other,-0.8660254037844385,-0.5000000000000004,12.0,1.0,1.0,2025.0,2,6.0,1,12.0,1.0,0.0
104,ชาย,ลงทุน/ปล่อยเช่า,unknown,unknown,unknown,unknown,unknown,unknown,26-29 ตร.ม.,2.51 - 3.0M,Missing,Missing,Facebook โครงการ,Other,Missing,Missing,Missing,"150,001 - 200,000",unknown,unknown,unknown,ปล่อยเช่า,ถ.พหลโยธินฯ,สมรส มีบุตร (คน),พนักงานบริษัทเอกชน ประเภท,45 ปีขึ้นไป,KAVE,Campus Condo,1690000,รังสิต,-0.7071067811865471,-0.7071067811865479,12.0,10.0,4.0,2024.0,41,5.0,1,286.0,4.0,0.0
104,ชาย,ใกล้มหาวิทยาลัย,unknown,อยู่ระหว่างการตัดสินใจ,unknown,unknown,ออกกำลังกาย,unknown,23-25 ตร.ม.,1.51 - 2.0M,Missing,Missing,ลูกค้าเก่า AssetWise,Other,"รถเก๋ง Size M (Civic, Altis ...)",1 - 3 เดือน,Missing,"65,001 - 80,000",unknown,unknown,นิสสัน (Nissan),ปล่อยเช่า,ถ.พหลโยธินฯ,สมรส มีบุตร (คน),อื่นๆ,45 ปีขึ้นไป,KAVE,Campus Condo,1690000,รังสิต,-0.4999999999999997,-0.8660254037844388,13.0,10.0,4.0,2024.0,41,6.0,1,287.0,4.0,0.0
